Article Number,Total Words (M),Frequency (F),F/M Ratio
Article No1,99.0,5.0,0.050505050505050504
Article No2,93.0,2.0,0.021505376344086023
Article No3,97.0,2.0,0.020618556701030927
Article No4,61.0,3.0,0.04918032786885246
Article No5,110.0,3.0,0.02727272727272727
Article No6,96.0,1.0,0.010416666666666666
Article No7,106.0,1.0,0.009433962264150943
Article No8,77.0,3.0,0.03896103896103896
Article No9,62.0,2.0,0.03225806451612903
Article No10,63.0,2.0,0.031746031746031744
Article No11,94.0,3.0,0.031914893617021274
Article No12,75.0,2.0,0.02666666666666667
Article No13,92.0,2.0,0.021739130434782608
Article No14,93.0,0.0,0.0
Article No15,90.0,2.0,0.022222222222222223
Article No16,96.0,2.0,0.020833333333333332
Article No17,91.0,2.0,0.02197802197802198
Article No18,106.0,7.0,0.0660377358490566
Article No19,90.0,0.0,0.0
Article No20,63.0,2.0,0.031746031746031744
Article No21,103.0,1.0,0.009708737864077669
Article No22,95.0,6.0,0.06315789473684211
Article No23,99.0,4.0,0.04040404040404041
Article No24,94.0,2.0,0.02127659574468085
Article No25,95.0,1.0,0.010526315789473684
Article No26,97.0,6.0,0.061855670103092786
Article No27,100.0,5.0,0.05
Article No28,107.0,7.0,0.06542056074766354
Article No29,100.0,1.0,0.01
Article No30,103.0,2.0,0.019417475728155338
Article No31,86.0,0.0,0.0
Article No32,99.0,6.0,0.06060606060606061
Article No33,86.0,4.0,0.046511627906976744
Article No34,102.0,6.0,0.058823529411764705
Article No35,98.0,3.0,0.030612244897959183
Article No36,92.0,3.0,0.03260869565217391
Article No37,89.0,1.0,0.011235955056179775
Article No38,94.0,4.0,0.0425531914893617
Article No39,100.0,6.0,0.06
Article No40,99.0,2.0,0.020202020202020204
Article No41,103.0,0.0,0.0
Article No42,90.0,0.0,0.0
Article No43,106.0,0.0,0.0
Article No44,93.0,0.0,0.0
Article No45,45.0,3.0,0.06666666666666667
Article No46,92.0,3.0,0.03260869565217391
Article No47,93.0,3.0,0.03225806451612903
Article No48,89.0,2.0,0.02247191011235955
Article No49,94.0,3.0,0.031914893617021274
Article No50,109.0,5.0,0.045871559633027525
Article No51,99.0,3.0,0.030303030303030304
Article No52,67.0,2.0,0.029850746268656716
Article No53,96.0,2.0,0.020833333333333332
Article No54,95.0,1.0,0.010526315789473684
Article No55,99.0,3.0,0.030303030303030304
Article No56,63.0,1.0,0.015873015873015872
Article No57,80.0,1.0,0.0125
Article No58,98.0,5.0,0.05102040816326531
Article No59,107.0,4.0,0.037383177570093455
Article No60,94.0,2.0,0.02127659574468085
Article No61,94.0,4.0,0.0425531914893617
Article No62,98.0,1.0,0.01020408163265306
Article No63,94.0,1.0,0.010638297872340425
Article No64,96.0,4.0,0.041666666666666664
Article No65,89.0,3.0,0.033707865168539325
Article No66,98.0,2.0,0.02040816326530612
Article No67,52.0,1.0,0.019230769230769232
Article No68,93.0,3.0,0.03225806451612903
Article No69,86.0,3.0,0.03488372093023256
Article No70,95.0,2.0,0.021052631578947368
Article No71,88.0,3.0,0.03409090909090909
Article No72,89.0,4.0,0.0449438202247191
Article No73,90.0,2.0,0.022222222222222223
Article No74,47.0,2.0,0.0425531914893617
Article No75,104.0,2.0,0.019230769230769232
Article No76,58.0,2.0,0.034482758620689655
Article No77,93.0,2.0,0.021505376344086023
Article No78,75.0,2.0,0.02666666666666667
Article No79,75.0,3.0,0.04
Article No80,74.0,3.0,0.04054054054054054
Article No81,84.0,3.0,0.03571428571428571
Article No82,87.0,2.0,0.022988505747126436
Article No83,87.0,3.0,0.034482758620689655
Article No84,89.0,3.0,0.033707865168539325
Article No85,93.0,4.0,0.043010752688172046
Article No86,83.0,1.0,0.012048192771084338
Article No87,86.0,3.0,0.03488372093023256
Article No88,99.0,4.0,0.04040404040404041
Article No89,48.0,1.0,0.020833333333333332
Article No90,87.0,1.0,0.011494252873563218
Article No91,93.0,1.0,0.010752688172043012
Article No92,90.0,1.0,0.011111111111111112
Article No93,100.0,1.0,0.01
Article No94,103.0,3.0,0.02912621359223301
Article No95,93.0,0.0,0.0
Article No96,90.0,2.0,0.022222222222222223
Article No97,102.0,3.0,0.029411764705882353
Article No98,106.0,1.0,0.009433962264150943
Article No99,87.0,4.0,0.04597701149425287
Article No100,106.0,3.0,0.02830188679245283
Article No101,85.0,0.0,0.0
Article No102,101.0,0.0,0.0
Article No103,97.0,0.0,0.0
Article No104,42.0,0.0,0.0
Article No105,69.0,0.0,0.0
Article No106,47.0,0.0,0.0
Article No107,92.0,0.0,0.0
Article No108,48.0,0.0,0.0
Article No109,41.0,0.0,0.0
Article No110,48.0,0.0,0.0
Article No111,95.0,0.0,0.0
Article No112,89.0,0.0,0.0
Article No113,93.0,0.0,0.0
Article No114,97.0,0.0,0.0
Article No115,84.0,0.0,0.0
Article No116,56.0,0.0,0.0
Article No117,53.0,0.0,0.0
Article No118,62.0,0.0,0.0
Article No119,69.0,0.0,0.0
Article No120,92.0,0.0,0.0
Article No121,93.0,0.0,0.0
Article No122,102.0,0.0,0.0
Article No123,94.0,0.0,0.0
Article No124,93.0,0.0,0.0
Article No125,88.0,0.0,0.0
Article No126,99.0,0.0,0.0
Article No127,99.0,0.0,0.0
Article No128,91.0,0.0,0.0
Article No129,104.0,0.0,0.0
Article No130,96.0,0.0,0.0
Article No131,105.0,0.0,0.0
Article No132,96.0,0.0,0.0
Article No133,80.0,0.0,0.0
Article No134,92.0,0.0,0.0
Article No135,100.0,0.0,0.0
Article No136,93.0,0.0,0.0
Article No137,22.0,0.0,0.0
Article No138,65.0,0.0,0.0
Article No139,40.0,0.0,0.0
Article No140,93.0,0.0,0.0
Article No141,88.0,0.0,0.0
Article No142,70.0,0.0,0.0
Article No143,92.0,0.0,0.0
Article No144,100.0,0.0,0.0
Article No145,85.0,0.0,0.0
Article No146,109.0,0.0,0.0
Article No147,88.0,0.0,0.0
Article No148,50.0,0.0,0.0
Article No149,91.0,0.0,0.0
Article No150,97.0,1.0,0.010309278350515464
Article No151,75.0,0.0,0.0
