Tweet,Message/tweets,Match,Polarity
1.0,BBCWorld Dr Fauci who is leading the US response to coronavirus says the country could have saved lives with earlier action http,leading,positive
2.0,terrysmall Meanwhile in Canada when using the neighbours hot tub without permission always do a shoulder check first https,hot,positive
3.0,OPINION On orphan wells dineanddash should not be the business model CBC News,orphan,negative
4.0,garyalsmith University of Ghana 10 All Other GH Universities,,neutral
5.0,Hw3NigyimiiBi University of Ghana scientists close to find corona cureThe cure de3 dem go get am oo but who u go test on Cha,cure,positive
6.0,StephenRWade3 If Quebec finally gets the Balls to Seperate Approximately how much would they have to Reimburse Canada,,neutral
7.0,JermaineJupiter Are you trying to make more money Do you know what the market looks like for you as a Tech Pro Are you in UK Canada,like,positive
8.0,KvnCeleste It depends on what features can emerge from western Canada and if any lingering cut off systems in the Southwest are present But yeah the colder temperatures surging south out of Canada amp encountering the warmer waters can make for more increasingly baroclinic environments,warmer,positive
9.0,emeczy Rwanda is building its own Silicon Valley in partnership with Carnegie Mellon University It is called Kigali Innovation City,Innovation,positive
10.0,ShaadLewis I want to publicly thank God for all the things hes doing privately,thank,positive
11.0,Im from the Pee Dee I went to Francis Marion University where the science building is named Leatherman Science Facility Trust me We know him,Trust,positive
12.0,MigunaMiguna Let me congratulate the 16 Kenyatta University students who have assembled 500000 prototype medical ventilators as their,congratulate,positive
13.0,AvinashMeetoo John Conway has died from COVID19 He was a mathematician and a professor at both the University of Cambridge and Princ,died,negative
14.0,JimboStanford Canada is now part of an international cartel to cut oil output amp drive up prices Canada and Alberta have already natio,,neutral
15.0,Hey Air Canada since you got bailed out by the taxpayer I am expecting CHEAPER flights and MUCH MUCH better customer service There should be direct benefits to all CanadiansAirCanada canPolionPoliTOpoliCustomerService,"CHEAPER,better,benefits",positive
16.0,Just watched wmy 8 and 12 year old sons Against the Wind the 30for30 doc about amputee Terry Foxs inspirational attempt to run across Canada He began his run 40 years ago today Amazing story Amazing young man Truly inspirational,"inspirational,Amazing,Amazing,inspirational",positive
